c,rho,Xr,Xr,metabolic exponent
,,0.01,0.5,1
,,0.030416666666666668,0.5,1
,,0.050833333333333335,0.5,1
,,0.07125,0.5,1
,,0.09166666666666666,0.5,1
0.04,1.99,0.11208333333333333,0.5,1
0.04,1.34,0.1325,0.5,1
0.03,1.68,0.15291666666666667,0.5,1
0.03,1.49,0.17333333333333334,0.5,1
0.02,1.82,0.19375,0.5,1
0.02,1.7,0.21416666666666667,0.5,1
0.08,0.5,0.23458333333333334,0.5,1
0.02,1.57,0.255,0.5,1
0.07,0.66,0.27541666666666664,0.5,1
0.03,1.23,0.29583333333333334,0.5,1
0.05,0.9,0.31625000000000003,0.5,1
0.01,1.85,0.33666666666666667,0.5,1
0.01,1.82,0.3570833333333333,0.5,1
0.02,1.41,0.3775,0.5,1
0.03,1.18,0.3979166666666667,0.5,1
0.01,1.74,0.41833333333333333,0.5,1
0.05,0.91,0.43875,0.5,1
0.01,1.71,0.45916666666666667,0.5,1
0.03,1.16,0.47958333333333336,0.5,1
0.02,1.35,0.5,0.5,1
