c,rho,alpha,Xr,metabolic exponent
0.02,1.99,1,0.11,0.75
0.02,1.99,2,0.11,0.75
0.02,1.99,3,0.11,0.75
0.02,1.99,4,0.11,0.75
0.02,0.08,5,0.11,0.75
0.01,1.99,6,0.11,0.75
0.01,1.99,7,0.11,0.75
0.01,1.99,8,0.11,0.75
0.01,1.99,9,0.11,0.75
0.01,1.99,10,0.11,0.75
0.01,1.99,11,0.11,0.75
0.01,1.99,12,0.11,0.75
0.01,1.99,13,0.11,0.75
0.01,1.49,14,0.11,0.75
0.01,1.04,15,0.11,0.75
0.01,0.65,16,0.11,0.75
0.01,0.31,17,0.11,0.75
0.01,0.01,18,0.11,0.75
,,19,0.11,0.75
,,20,0.11,0.75
