c,rho,Xr,Xr,metabolic exponent
0.31,0.82,0.5,30.0,1
0.35,0.81,1.7291666666666667,30.0,1
0.35,0.81,2.9583333333333335,30.0,1
0.35,0.81,4.1875,30.0,1
0.35,0.81,5.416666666666667,30.0,1
0.35,0.81,6.645833333333334,30.0,1
0.35,0.81,7.875,30.0,1
0.35,0.81,9.104166666666668,30.0,1
0.35,0.81,10.333333333333334,30.0,1
0.35,0.81,11.5625,30.0,1
0.35,0.81,12.791666666666668,30.0,1
0.35,0.81,14.020833333333334,30.0,1
0.35,0.81,15.25,30.0,1
0.35,0.81,16.479166666666668,30.0,1
0.35,0.81,17.708333333333336,30.0,1
0.35,0.81,18.9375,30.0,1
0.35,0.81,20.166666666666668,30.0,1
0.35,0.81,21.395833333333336,30.0,1
0.35,0.81,22.625,30.0,1
0.35,0.81,23.854166666666668,30.0,1
0.35,0.81,25.083333333333336,30.0,1
0.35,0.81,26.3125,30.0,1
0.35,0.81,27.541666666666668,30.0,1
0.35,0.81,28.770833333333336,30.0,1
0.35,0.81,30.0,30.0,1
