c,rho,shrinkage,Xr,metabolic exponent
,,0.0,100,1
0.31,0.72,0.015789473684210527,100,1
0.31,0.78,0.031578947368421054,100,1
0.33,0.81,0.04736842105263158,100,1
0.25,0.86,0.06315789473684211,100,1
0.25,0.88,0.07894736842105263,100,1
0.27,0.89,0.09473684210526316,100,1
0.08,1.01,0.1105263157894737,100,1
0.26,0.92,0.12631578947368421,100,1
0.33,0.91,0.14210526315789473,100,1
0.33,0.92,0.15789473684210525,100,1
0.26,0.95,0.1736842105263158,100,1
0.36,0.93,0.18947368421052632,100,1
0.09,1.06,0.20526315789473684,100,1
0.02,1.2,0.2210526315789474,100,1
0.15,1.03,0.2368421052631579,100,1
0.32,0.97,0.25263157894736843,100,1
0.04,1.16,0.26842105263157895,100,1
0.01,1.29,0.28421052631578947,100,1
0.16,1.05,0.3,100,1
