c,rho,alpha,Xr,metabolic exponent
0.15,1.99,1,100,0.75
0.06,1.74,2,100,0.75
0.03,1.66,3,100,0.75
0.03,1.53,4,100,0.75
0.09,1.29,5,100,0.75
0.06,1.3,6,100,0.75
0.03,1.35,7,100,0.75
0.19,1.1,8,100,0.75
0.03,1.29,9,100,0.75
0.09,1.15,10,100,0.75
0.03,1.25,11,100,0.75
0.17,1.06,12,100,0.75
0.03,1.22,13,100,0.75
0.04,1.18,14,100,0.75
0.04,1.17,15,100,0.75
0.19,1.02,16,100,0.75
0.2,1.01,17,100,0.75
0.06,1.11,18,100,0.75
0.1,1.06,19,100,0.75
0.02,1.19,20,100,0.75
