c,rho,alpha,Xr,metabolic exponent
0.01,1.77,1,0.01,1
0.02,1.55,2,0.01,1
0.15,1.2,3,0.01,1
0.01,1.39,4,0.01,1
0.09,1.11,5,0.01,1
0.12,1.03,6,0.01,1
0.27,0.91,7,0.01,1
0.15,0.93,8,0.01,1
0.09,0.95,9,0.01,1
0.02,1.07,10,0.01,1
0.11,0.9,11,0.01,1
0.02,1.05,12,0.01,1
0.01,1.11,13,0.01,1
0.18,0.84,14,0.01,1
0.34,0.78,15,0.01,1
0.27,0.8,16,0.01,1
0.27,0.8,17,0.01,1
0.3,0.79,18,0.01,1
0.3,0.79,19,0.01,1
0.02,1.04,20,0.01,1
