c,rho,alpha,Xr,metabolic exponent
0.2,1.87,1,100,1
0.06,1.77,2,100,1
0.02,1.82,3,100,1
0.01,1.82,4,100,1
0.11,0.89,5,100,1
0.01,1.55,6,100,1
0.01,1.49,7,100,1
0.01,1.46,8,100,1
0.07,0.83,9,100,1
0.03,1.09,10,100,1
0.01,1.43,11,100,1
0.01,1.43,12,100,1
0.02,1.21,13,100,1
0.02,1.21,14,100,1
0.02,1.21,15,100,1
0.02,1.21,16,100,1
0.02,1.21,17,100,1
0.02,1.21,18,100,1
0.02,1.21,19,100,1
0.02,1.21,20,100,1
