c,rho,Xr,Xr,metabolic exponent
0.2,0.5,0.5,30.0,0.75
0.34,0.49,1.7291666666666667,30.0,0.75
0.25,0.5,2.9583333333333335,30.0,0.75
0.03,0.56,4.1875,30.0,0.75
0.06,0.54,5.416666666666667,30.0,0.75
0.02,0.57,6.645833333333334,30.0,0.75
0.18,0.51,7.875,30.0,0.75
0.12,0.52,9.104166666666668,30.0,0.75
0.34,0.49,10.333333333333334,30.0,0.75
0.01,0.59,11.5625,30.0,0.75
0.27,0.5,12.791666666666668,30.0,0.75
0.02,0.57,14.020833333333334,30.0,0.75
0.02,0.57,15.25,30.0,0.75
0.19,0.51,16.479166666666668,30.0,0.75
0.08,0.53,17.708333333333336,30.0,0.75
0.04,0.55,18.9375,30.0,0.75
0.2,0.5,20.166666666666668,30.0,0.75
0.26,0.5,21.395833333333336,30.0,0.75
0.32,0.49,22.625,30.0,0.75
0.36,0.49,23.854166666666668,30.0,0.75
0.16,0.51,25.083333333333336,30.0,0.75
0.17,0.51,26.3125,30.0,0.75
0.04,0.55,27.541666666666668,30.0,0.75
0.08,0.53,28.770833333333336,30.0,0.75
0.13,0.52,30.0,30.0,0.75
