c,rho,alpha,Xr,metabolic exponent
0.13,1.32,1,100,1
0.19,1.14,2,100,1
0.17,1.07,3,100,1
0.03,1.16,4,100,1
0.06,1.05,5,100,1
0.28,0.88,6,100,1
0.27,0.86,7,100,1
0.29,0.84,8,100,1
0.15,0.89,9,100,1
0.01,1.12,10,100,1
0.05,0.98,11,100,1
0.07,0.95,12,100,1
0.11,0.91,13,100,1
0.11,0.91,14,100,1
0.11,0.91,15,100,1
0.11,0.91,16,100,1
0.11,0.91,17,100,1
0.11,0.91,18,100,1
0.11,0.91,19,100,1
0.11,0.91,20,100,1
