c,rho,shrinkage,Xr,metabolic exponent
,,0.0,100,1
0.06,0.5,0.015789473684210527,100,1
0.38,0.14,0.031578947368421054,100,1
0.01,1.41,0.04736842105263158,100,1
0.03,1.16,0.06315789473684211,100,1
0.01,1.58,0.07894736842105263,100,1
0.25,0.62,0.09473684210526316,100,1
0.04,1.26,0.1105263157894737,100,1
0.03,1.4,0.12631578947368421,100,1
0.01,1.8,0.14210526315789473,100,1
0.06,1.26,0.15789473684210525,100,1
0.04,1.43,0.1736842105263158,100,1
0.03,1.56,0.18947368421052632,100,1
0.01,1.96,0.20526315789473684,100,1
0.04,1.53,0.2210526315789474,100,1
0.03,1.66,0.2368421052631579,100,1
0.03,1.69,0.25263157894736843,100,1
0.02,1.86,0.26842105263157895,100,1
0.02,1.89,0.28421052631578947,100,1
0.02,1.92,0.3,100,1
