c,rho,shrinkage,Xr,metabolic exponent
,,0.0,0.11,1
0.31,0.68,0.010344827586206896,0.11,1
0.35,0.73,0.020689655172413793,0.11,1
0.33,0.77,0.03103448275862069,0.11,1
0.25,0.82,0.041379310344827586,0.11,1
0.28,0.83,0.05172413793103448,0.11,1
0.12,0.92,0.06206896551724138,0.11,1
0.02,1.09,0.07241379310344828,0.11,1
0.36,0.85,0.08275862068965517,0.11,1
0.13,0.95,0.09310344827586206,0.11,1
0.23,0.91,0.10344827586206896,0.11,1
0.32,0.89,0.11379310344827587,0.11,1
0.04,1.08,0.12413793103448276,0.11,1
0.34,0.9,0.13448275862068965,0.11,1
0.03,1.12,0.14482758620689656,0.11,1
0.16,0.98,0.15517241379310345,0.11,1
0.01,1.23,0.16551724137931034,0.11,1
0.29,0.94,0.17586206896551723,0.11,1
0.04,1.12,0.18620689655172412,0.11,1
0.06,1.09,0.19655172413793104,0.11,1
0.08,1.07,0.20689655172413793,0.11,1
0.06,1.1,0.21724137931034482,0.11,1
0.08,1.08,0.22758620689655173,0.11,1
0.06,1.11,0.23793103448275862,0.11,1
0.04,1.15,0.2482758620689655,0.11,1
0.23,1.0,0.25862068965517243,0.11,1
0.05,1.14,0.2689655172413793,0.11,1
0.18,1.03,0.2793103448275862,0.11,1
0.02,1.23,0.2896551724137931,0.11,1
0.09,1.1,0.3,0.11,1
