c,rho,Xr,Xr,metabolic exponent
0.11,0.84,0.5,30.0,0.75
0.33,0.77,1.7291666666666667,30.0,0.75
0.04,0.84,2.9583333333333335,30.0,0.75
0.16,0.77,4.1875,30.0,0.75
0.09,0.79,5.416666666666667,30.0,0.75
0.38,0.72,6.645833333333334,30.0,0.75
0.06,0.8,7.875,30.0,0.75
0.14,0.76,9.104166666666668,30.0,0.75
0.05,0.8,10.333333333333334,30.0,0.75
0.28,0.73,11.5625,30.0,0.75
0.03,0.82,12.791666666666668,30.0,0.75
0.02,0.84,14.020833333333334,30.0,0.75
0.31,0.72,15.25,30.0,0.75
0.07,0.78,16.479166666666668,30.0,0.75
0.01,0.87,17.708333333333336,30.0,0.75
0.21,0.74,18.9375,30.0,0.75
0.1,0.77,20.166666666666668,30.0,0.75
0.16,0.75,21.395833333333336,30.0,0.75
0.34,0.72,22.625,30.0,0.75
0.06,0.79,23.854166666666668,30.0,0.75
0.05,0.8,25.083333333333336,30.0,0.75
0.24,0.73,26.3125,30.0,0.75
0.14,0.75,27.541666666666668,30.0,0.75
0.07,0.78,28.770833333333336,30.0,0.75
0.26,0.72,30.0,30.0,0.75
