c,rho,meta_exp,Xr,metabolic exponent
0.15,0.51,0.75,100,1.0000000000000002
0.02,0.57,0.76,100,1.0000000000000002
0.38,0.49,0.77,100,1.0000000000000002
0.34,0.49,0.78,100,1.0000000000000002
0.31,0.5,0.79,100,1.0000000000000002
0.32,0.5,0.8,100,1.0000000000000002
0.04,0.57,0.81,100,1.0000000000000002
0.22,0.53,0.8200000000000001,100,1.0000000000000002
0.26,0.54,0.8300000000000001,100,1.0000000000000002
0.08,0.6,0.8400000000000001,100,1.0000000000000002
0.29,0.59,0.8500000000000001,100,1.0000000000000002
0.09,0.68,0.8600000000000001,100,1.0000000000000002
0.06,0.76,0.8700000000000001,100,1.0000000000000002
0.11,0.79,0.8800000000000001,100,1.0000000000000002
0.14,0.8,0.8900000000000001,100,1.0000000000000002
0.09,0.83,0.9000000000000001,100,1.0000000000000002
0.01,0.96,0.9100000000000001,100,1.0000000000000002
0.34,0.77,0.9200000000000002,100,1.0000000000000002
0.14,0.83,0.9300000000000002,100,1.0000000000000002
0.1,0.86,0.9400000000000002,100,1.0000000000000002
0.02,0.98,0.9500000000000002,100,1.0000000000000002
0.34,0.79,0.9600000000000002,100,1.0000000000000002
0.03,0.98,0.9700000000000002,100,1.0000000000000002
0.39,0.79,0.9800000000000002,100,1.0000000000000002
0.29,0.82,0.9900000000000002,100,1.0000000000000002
0.35,0.81,1.0000000000000002,100,1.0000000000000002
