c,rho,alpha,Xr,metabolic exponent
0.09,1.38,1,0.11,1
0.29,1.11,2,0.11,1
0.36,1.01,3,0.11,1
0.18,1.01,4,0.11,1
0.18,0.96,5,0.11,1
0.26,0.89,6,0.11,1
0.34,0.84,7,0.11,1
0.13,0.91,8,0.11,1
0.21,0.86,9,0.11,1
0.08,0.94,10,0.11,1
0.11,0.91,11,0.11,1
0.34,0.81,12,0.11,1
0.34,0.81,13,0.11,1
0.34,0.81,14,0.11,1
0.34,0.81,15,0.11,1
0.34,0.81,16,0.11,1
0.34,0.81,17,0.11,1
0.34,0.81,18,0.11,1
0.34,0.81,19,0.11,1
0.34,0.81,20,0.11,1
