c,rho,shrinkage,Xr,metabolic exponent
,,0.0,0.11,1
,,0.010344827586206896,0.11,1
0.01,1.99,0.020689655172413793,0.11,1
0.02,1.99,0.03103448275862069,0.11,1
0.02,1.99,0.041379310344827586,0.11,1
0.02,1.99,0.05172413793103448,0.11,1
0.02,1.99,0.06206896551724138,0.11,1
0.02,1.99,0.07241379310344828,0.11,1
0.02,1.99,0.08275862068965517,0.11,1
0.02,1.99,0.09310344827586206,0.11,1
0.02,1.99,0.10344827586206896,0.11,1
0.02,1.99,0.11379310344827587,0.11,1
0.02,1.99,0.12413793103448276,0.11,1
0.02,1.99,0.13448275862068965,0.11,1
0.02,1.99,0.14482758620689656,0.11,1
0.02,1.99,0.15517241379310345,0.11,1
0.02,1.99,0.16551724137931034,0.11,1
0.02,1.99,0.17586206896551723,0.11,1
0.02,1.99,0.18620689655172412,0.11,1
0.02,1.99,0.19655172413793104,0.11,1
0.02,1.99,0.20689655172413793,0.11,1
0.02,1.99,0.21724137931034482,0.11,1
0.02,1.99,0.22758620689655173,0.11,1
0.02,1.99,0.23793103448275862,0.11,1
0.02,1.99,0.2482758620689655,0.11,1
0.02,1.99,0.25862068965517243,0.11,1
0.02,1.99,0.2689655172413793,0.11,1
0.02,1.99,0.2793103448275862,0.11,1
0.02,1.99,0.2896551724137931,0.11,1
0.02,1.99,0.3,0.11,1
