c,rho,meta_exp,Xr,metabolic exponent
0.12,0.52,0.75,0.11,1.0000000000000002
0.04,0.55,0.76,0.11,1.0000000000000002
0.27,0.5,0.77,0.11,1.0000000000000002
0.3,0.5,0.78,0.11,1.0000000000000002
0.14,0.52,0.79,0.11,1.0000000000000002
0.19,0.52,0.8,0.11,1.0000000000000002
0.03,0.58,0.81,0.11,1.0000000000000002
0.22,0.53,0.8200000000000001,0.11,1.0000000000000002
0.05,0.59,0.8300000000000001,0.11,1.0000000000000002
0.2,0.57,0.8400000000000001,0.11,1.0000000000000002
0.38,0.58,0.8500000000000001,0.11,1.0000000000000002
0.12,0.67,0.8600000000000001,0.11,1.0000000000000002
0.01,0.83,0.8700000000000001,0.11,1.0000000000000002
0.26,0.75,0.8800000000000001,0.11,1.0000000000000002
0.26,0.77,0.8900000000000001,0.11,1.0000000000000002
0.16,0.8,0.9000000000000001,0.11,1.0000000000000002
0.01,0.96,0.9100000000000001,0.11,1.0000000000000002
0.24,0.79,0.9200000000000002,0.11,1.0000000000000002
0.1,0.85,0.9300000000000002,0.11,1.0000000000000002
0.21,0.81,0.9400000000000002,0.11,1.0000000000000002
0.02,0.98,0.9500000000000002,0.11,1.0000000000000002
0.29,0.8,0.9600000000000002,0.11,1.0000000000000002
0.02,1.01,0.9700000000000002,0.11,1.0000000000000002
0.18,0.85,0.9800000000000002,0.11,1.0000000000000002
0.25,0.83,0.9900000000000002,0.11,1.0000000000000002
0.34,0.81,1.0000000000000002,0.11,1.0000000000000002
