c,rho,alpha,Xr,metabolic exponent
0.01,1.46,1,100,0.75
0.01,1.33,2,100,0.75
0.01,1.28,3,100,0.75
0.01,1.25,4,100,0.75
0.01,1.23,5,100,0.75
0.01,1.22,6,100,0.75
0.01,1.21,7,100,0.75
0.04,1.13,8,100,0.75
0.08,1.09,9,100,0.75
0.33,1.01,10,100,0.75
0.09,1.07,11,100,0.75
0.08,1.06,12,100,0.75
0.33,0.98,13,100,0.75
0.14,1.0,14,100,0.75
0.1,1.0,15,100,0.75
0.04,1.03,16,100,0.75
0.05,0.98,17,100,0.75
0.01,1.04,18,100,0.75
0.09,0.94,19,100,0.75
0.01,1.02,20,100,0.75
